13379,214,9273
480,99,5761
1372,77,1974
6868,2,1801
1587,62,14014
9937,89,3120
12541,171,4901
1369,97,6884
3086,94,11670
7992,96,2186
1123,169,5159
9735,50,10127
1614,85,4083
11479,17,833
1810,112,4057
13608,94,13353
9590,168,8582
8052,171,7544
11730,118,9590
14133,94,6308
9255,97,4224
8082,132,10758
6222,47,4003
12319,202,14434
3597,179,4877
6043,203,11627
8588,179,1110
5676,106,9831
12769,17,833
9513,157,13310
8726,41,9590
2375,132,4517
10851,196,5444
6807,103,2500
5987,139,1152
10149,17,5826
1316,97,4275
7369,9,9590
446,171,745
10772,116,11231
6767,134,4309
5936,9,9590
439,94,13680
5952,202,13937
7227,145,2225
650,2,13572
3987,43,3975
6708,82,5312
5320,116,6262
2847,48,5312
10373,40,4336
1023,188,7947
6339,209,6785
9982,109,6004
2876,171,2972
12125,174,1531
912,2,2949
7011,171,14415
5468,196,5444
13836,134,8568
7978,94,2521
5676,106,5912
11874,62,8787
14426,9,9677
336,196,5444
5022,15,875
12662,115,10871
1270,152,14484
5221,106,4114
2367,50,10127
521,132,11158
8937,2,2893
6761,196,5444
4709,145,1374
11806,196,5444
11115,96,4690
3345,227,11330
464,117,10126
14163,194,4686
5430,145,6613
2274,50,10127
13778,41,12362
13791,80,2222
11886,233,13951
14141,17,9590
2065,196,5444
2260,17,5765
4977,112,13700
13566,119,5765
10877,145,11948
8828,71,13562
2928,171,4977
12532,106,5525
5433,117,2505
10794,177,3356
8927,145,6061
8097,92,13700
13094,94,2061
2139,202,7875
5486,9,5371
7840,103,10913
5648,123,6404
9457,114,4043
10803,134,949
6374,122,10052
1321,99,6673
14451,60,3792
1571,97,3158
5879,115,11115
6893,123,8477
6009,17,11095
284,171,9774
13316,77,5967
5241,20,5241
12946,157,550
13737,19,6047
4816,152,11475
7440,132,12336
6357,79,6522
6804,109,558
3561,187,9148
5124,3,5312
14296,195,2710
10029,0,7830
3872,109,9624
4318,109,1975
1952,132,12336
13693,169,12372
7249,17,3965
4888,63,3401
5382,89,3120
9457,109,1521
5475,97,315
3000,132,3051
10665,23,3307
8433,163,5492
8440,230,5622
134,50,10127
9015,109,10848
5583,94,14249
8827,94,8112
5992,145,1372
13148,91,3241
937,202,7122
6642,171,9565
2355,179,6220
12433,94,10486
9572,43,2983
1529,97,7279
3701,175,13012
8596,31,7351
12149,112,2181
9617,85,4325
12726,94,4468
7512,194,10036
13323,202,4528
7853,225,3855
2040,196,5444
1482,171,4620
41,145,11948
10567,17,9108
14278,4,5854
4331,9,9590
2663,109,10469
6262,167,7950
7202,92,4057
11859,189,10041
10218,235,10107
13523,94,13934
2570,17,4971
10627,17,5826
1563,205,2110
3713,202,6263
2175,171,6299
11936,94,5055
4710,35,3636
12913,49,728
10223,2,12840
9583,168,11537
360,202,5262
14378,163,6617
5493,32,13897
1241,202,8683
10977,202,8568
1306,230,1224
9397,97,9855
8638,51,2214
9803,103,1414
10008,144,7543
2491,139,12960
3757,179,3681
12924,203,2285
2756,41,12309
1072,146,1072
3323,179,9548
7483,97,1667
5261,139,13978
4863,94,1561
13480,45,1797
13031,99,7053
13767,94,1140
224,179,3697
2812,134,7845
8360,6,11424
870,17,9590
6582,179,671
9368,97,6012
12512,94,10537
1566,9,13195
2499,227,4855
7322,94,3623
2187,170,5836
14378,163,9981
6250,119,9590
7845,97,9665
10836,132,3431
10898,94,2841
11749,202,13835
3065,62,3686
11479,17,3855
2952,99,1179
4283,97,5002
13798,230,7117
8164,233,9988
4603,94,11833
4279,43,14158
584,49,7443
11740,171,2274
13705,106,9890
8620,171,3163
13016,0,6693
11279,168,14272
473,117,1440
9057,171,8330
12191,202,4309
1571,97,11882
7854,94,665
329,132,2978
12049,102,10101
3396,233,12581
10871,205,1174
8699,145,3712
5673,70,6332
11847,233,13617
9590,231,9879
1227,146,1227
14166,175,2674
12564,50,10127
6910,31,121
12384,171,6265
9556,119,13195
4780,97,10106
7105,112,13700
3971,97,5624
9130,202,5871
13643,227,11330
14451,60,8363
4968,179,6577
14268,145,2030
13413,169,14006
715,145,5670
6407,23,1945
1665,17,11447
9619,43,1974
12190,196,5444
7545,172,1515
9823,205,5461
8337,70,4602
7279,134,8978
6243,44,13507
10619,103,1414
13571,99,858
2942,130,7618
14029,2,298
11221,5,11701
6359,17,13897
2833,17,5371
9066,94,2595
10297,97,10996
14280,196,5444
10939,97,5995
11115,152,7101
13027,41,12309
5614,58,13596
5333,119,13195
5091,35,12365
1511,145,1372
9530,222,12042
7405,132,3151
13933,109,7213
5024,34,4892
1347,213,12135
10433,17,6262
14475,227,11330
8781,109,12423
4129,116,13379
4534,109,7163
12071,179,2920
10007,168,13161
1909,9,9590
3931,89,8787
10576,227,11330
6428,233,5604
8352,196,5444
7819,174,869
12116,53,1519
10076,97,11814
2934,97,4999
13141,2,2776
4346,202,9307
5041,64,357
7759,170,13974
5825,137,8519
6582,179,10609
7086,202,11626
8053,188,6888
14270,109,150
4909,194,4413
7926,21,7155
14150,77,2064
9326,58,8209
10157,85,9154
13224,169,14006
13711,9,9590
13816,171,8435
13790,169,8735
5194,168,11064
12042,40,14427
9088,188,7947
13434,141,2325
3951,144,7543
2933,44,11991
4065,205,6047
10810,41,12309
11872,6,1944
13364,87,13254
2786,4,14341
5094,205,5461
11606,169,3459
1940,202,12887
3416,17,9590
7631,70,8656
5202,111,10012
6617,116,140
14353,97,14474
6816,40,9408
9733,164,6553
9326,152,179
11890,232,7351
7957,202,11787
11630,204,10800
13579,119,9590
3233,227,11330
7658,31,9643
12861,85,12420
5329,163,11100
2647,205,1563
9444,17,13897
13025,134,12096
11095,31,6391
6318,235,295
7188,70,6105
8348,168,2910
1867,17,6686
11045,194,636
5830,162,1944
9094,170,542
1944,34,333
7731,132,7808
5995,134,10297
2822,99,10105
12413,171,5236
9761,196,5444
10594,160,14288
10431,145,653
10892,77,2439
2593,170,10176
14096,173,5312
12790,94,651
12096,233,4745
4279,109,7403
9467,2,2083
3786,129,1999
6896,94,8834
6084,2,7508
3235,86,11701
11047,134,1689
13078,64,13949
10452,179,8399
12496,2,4667
14085,168,11585
6422,94,8225
10735,23,3307
7077,94,13812
8234,94,5198
2496,233,12904
8359,89,3686
9063,8,12382
9594,111,54
3981,230,1479
5303,89,14014
12887,97,12855
10676,230,10035
8843,100,11638
4971,31,9523
1563,205,14140
1429,9,5765
1749,97,12217
10536,132,3051
5962,139,13342
3303,109,12965
4402,109,11857
9209,202,6451
5601,202,3232
7720,202,10465
7992,96,1363
3633,64,12903
7930,179,8528
12360,94,86
5919,168,9714
11115,205,6753
13571,92,13700
2468,180,14024
13071,134,6726
10875,209,9350
6656,43,12506
6448,197,12250
11681,13,12646
6465,157,13310
9669,2,1465
10944,4,7705
6982,129,1030
3538,119,9590
8132,106,7529
5217,202,3977
4690,205,3979
3416,145,11948
1452,42,2823
12960,2,531
4636,15,5736
12493,2,13867
12075,102,10101
10451,102,10101
2678,127,7123
8225,109,6865
2716,72,13662
3893,202,8713
4026,187,7843
11288,164,3730
11390,87,8957
120,153,14312
11573,9,7658
164,40,2350
8805,132,4334
6865,162,1944
8467,223,7257
11115,152,9023
321,96,11115
14227,47,10051
8305,43,5844
8976,3,5312
7919,132,11566
12072,2,14303
7850,49,265
8568,97,12282
650,94,4889
3252,129,14431
11886,233,9548
1964,132,12336
13392,81,2553
6465,124,890
358,15,8741
13693,169,5987
5300,17,8027
5650,132,9496
